order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region_x,discount_applied,product_name,category,launch_date,base_price,supplier_code,email,signup_date,gender,region_y,loyalty_tier,revenue,order_week,price_band,days_to_order,email_domain,is_late
O966977,C00397,P0022,3,39.25,2025-07-06,Delivered,Paypal,Central,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,jacquelinemartin@mills-logan.com,2024-09-08,Female,North,Silver,117.75,27,High,275.0,mills-logan.com,False
O696648,C00236,P0023,5,18.92,2025-07-06,Delayed,Credit Card,North,0.0,Outdoors Product 32,Outdoors,2025-01-18,36.04,S907,georgeweber@morgan.com,2024-08-06,Other,North,Gold,94.60000000000001,27,Medium,169.0,morgan.com,True
O202644,C00492,P0011,1,29.68,2025-07-07,Delivered,Bank Transfer,North,0.15,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,lcook@walters-smith.com,2024-09-25,Male,Central,Gold,25.227999999999998,28,Medium,104.0,walters-smith.com,False
O501803,C00031,P0003,1,32.76,2025-07-08,Cancelled,Credit Card,Central,0.2,Cleaning Product 85,Cleaning,2024-07-15,7.92,S745,smoore@gmail.com,2024-07-28,Female,Central,Gold,26.208,28,High,358.0,gmail.com,False
O322242,C00495,P0016,1,47.62,2025-07-08,Delayed,Credit Card,West,0.2,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,mcclainkatherine@hotmail.com,2024-09-18,Male,Central,Gold,38.096,28,High,138.0,hotmail.com,True
O190175,C00388,P0005,3,37.89,2025-07-10,Delayed,Bank Transfer,North,0.1,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,abbottdominique@yahoo.com,2024-09-23,Male,North,Gold,102.303,28,High,263.0,yahoo.com,True
O272646,C00328,P0027,5,30.83,2025-07-12,Delivered,Paypal,Central,0.05,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,adamsnorman@moore.com,2024-07-08,Female,Central,Gold,146.44249999999997,28,High,294.0,moore.com,False
O411881,C00201,P0019,3,12.56,2025-07-14,Delivered,Credit Card,East,0.0,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,christopher24@whitehead-hernandez.biz,2024-08-10,Female,East,Gold,37.68,29,Low,362.0,whitehead-hernandez.biz,False
O170570,C00076,P0030,3,28.32,2025-07-16,Delivered,Paypal,Central,0.15,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,jeffrey10@herring.com,2025-03-04,Female,North,Gold,72.21600000000001,29,Medium,103.0,herring.com,False
O619944,C00330,P0002,1,30.96,2025-07-18,Delayed,Credit Card,South,0.15,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,ryanhawkins@russell.com,2025-02-22,Other,West,Bronze,26.316,29,High,334.0,russell.com,True
O490023,C00285,P0022,2,9.98,2025-07-20,Delivered,Credit Card,Central,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,hendersonisabella@mcknight.info,2024-07-18,Male,Central,Bronze,19.96,29,Low,289.0,mcknight.info,False
O865247,C00249,P0022,5,30.92,2025-07-22,Delayed,Credit Card,East,0.1,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,theresalong@grant-diaz.com,2024-09-21,Male,South,Gold,139.14000000000001,30,High,291.0,grant-diaz.com,True
O315552,C00110,P0007,4,28.74,2025-07-24,Delivered,Bank Transfer,North,0.1,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,harrisonricky@yahoo.com,2025-03-23,Female,South,Gold,103.464,30,Medium,297.0,yahoo.com,False
O135982,C00441,P0003,2,38.11,2025-07-26,Delivered,Paypal,North,0.0,Cleaning Product 85,Cleaning,2024-07-15,7.92,S745,sean43@steele.com,,Female,South,Bronze,76.22,30,High,376.0,steele.com,False
O870079,C00274,P0013,1,49.71,2025-07-28,Delayed,Credit Card,East,0.0,Cleaning Product 94,Cleaning,2025-06-17,36.52,S914,cherylfowler@wilcox-robertson.com,2024-12-08,Female,South,Gold,49.71,31,High,41.0,wilcox-robertson.com,True
O305482,C00404,P0003,4,9.79,2025-07-30,Cancelled,Bank Transfer,North,0.15,Cleaning Product 85,Cleaning,2024-07-15,7.92,S745,shawrachel@gmail.com,2024-09-30,Male,East,Gold,33.285999999999994,31,Low,380.0,gmail.com,False
O359666,C00397,P0007,4,12.07,2025-07-30,Delayed,Bank Transfer,West,0.0,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,jacquelinemartin@mills-logan.com,2024-09-08,Female,North,Silver,48.28,31,Low,303.0,mills-logan.com,True
O324940,C00262,P0002,1,20.42,2025-07-31,Delayed,Credit Card,North,0.05,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,ann44@gmail.com,2025-02-13,Female,South,Gold,19.399,31,Medium,347.0,gmail.com,True
O364358,C00319,P0027,4,17.4,2025-07-30,Delayed,Paypal,East,0.0,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,ebennett@gmail.com,2025-03-10,Male,West,Gold,69.6,31,Medium,312.0,gmail.com,True
O358447,C00059,P0004,3,39.89,2025-07-29,Delayed,Bank Transfer,West,0.0,Kitchen Product 82,Kitchen,2025-04-19,9.13,S589,cardenaskaren@hotmail.com,2024-11-03,Female,West,Bronze,119.67,31,High,101.0,hotmail.com,True
